id;created_at;state;amount;name_user;client_name;payment_transactions_invoice_numbers;payment_transactions_amounts
550e8400-e29b-41d4-a716-01;2025-01-05T10:00:00;success;20.50;Juan Pérez;Tecnología S.A.;(A-0001-00001001-A-0001-00001002);(10.25,10.25)
550e8400-e29b-41d4-a716-02;2025-01-06T11:30:00;success;15.00;María López;Servicios Globales;(A-0001-00001003);(15.00)
550e8400-e29b-41d4-a716-03;2025-01-08T14:15:00;success;24.00;Pedro Diaz;Innovaciones Web;(A-0001-00001004-A-0001-00001005-B-0001-00001006);(8.00,8.00,8.00)
550e8400-e29b-41d4-a716-04;2025-01-10T09:00:00;void;18.75;Lucía Méndez;Consultores Asoc.;(B-0001-00001007);(18.75)
550e8400-e29b-41d4-a716-05;2025-01-12T16:45:00;success;22.10;Diego Silva;Distribuidora Norte;(A-0001-00001008-A-0001-00001009);(12.10,10.00)
550e8400-e29b-41d4-a716-06;2025-01-14T10:20:00;success;16.50;Sofía Vargas;Importadora Sur;(B-0001-00001010);(16.50)
550e8400-e29b-41d4-a716-07;2025-01-15T12:00:00;success;19.90;Javier Rojas;Logística Express;(A-0001-00001011);(19.90)
550e8400-e29b-41d4-a716-08;2025-01-17T08:30:00;success;25.00;Elena Cruz;Retail Group;(A-0001-00001012-B-0001-00001013);(15.00,10.00)
550e8400-e29b-41d4-a716-09;2025-01-19T15:10:00;success;17.25;Miguel Torres;Construcciones SA;(B-0001-00001014);(17.25)
550e8400-e29b-41d4-a716-10;2025-01-21T11:05:00;success;21.80;Valentina Ruiz;Agencia Digital;(A-0001-00001015-A-0001-00001016);(10.90,10.90)
550e8400-e29b-41d4-a716-11;2025-01-23T13:40:00;success;15.50;Andrés Castro;Alimentos Frescos;(B-0001-00001017);(15.50)
550e8400-e29b-41d4-a716-12;2025-01-25T09:15:00;success;23.40;Camila Flores;Textiles Modernos;(A-0001-00001018-A-0001-00001019);(11.70,11.70)
550e8400-e29b-41d4-a716-13;2025-01-28T17:00:00;success;18.00;Fernando Gil;Automotriz Lider;(A-0001-00001020);(18.00)
550e8400-e29b-41d4-a716-14;2025-01-30T10:30:00;success;20.00;Isabella Peña;Farmacias Unidas;(B-0001-00001021);(20.00)
550e8400-e29b-41d4-a716-15;2025-02-01T14:50:00;void;16.75;Ricardo Vega;Supermercados X;(A-0001-00001022);(16.75)
550e8400-e29b-41d4-a716-16;2025-02-03T08:45:00;success;24.50;Mariana León;Hoteles Sol;(A-0001-00001023-A-0001-00001024-A-0001-00001025);(10.00,10.00,4.50)
550e8400-e29b-41d4-a716-17;2025-02-05T16:20:00;success;19.25;Gustavo Rios;Viajes Mundo;(B-0001-00001026);(19.25)
550e8400-e29b-41d4-a716-18;2025-02-08T11:10:00;success;22.60;Patricia Soto;Seguros Confianza;(A-0001-00001027-A-0001-00001028);(11.30,11.30)
550e8400-e29b-41d4-a716-19;2025-02-10T13:55:00;success;15.90;Roberto Paz;Bienes Raíces;(A-0001-00001029);(15.90)
550e8400-e29b-41d4-a716-20;2025-02-12T09:30:00;success;21.15;Daniela Mora;Educación Futuro;(B-0001-00001030);(21.15)
550e8400-e29b-41d4-a716-21;2025-02-14T17:00:00;success;17.80;Jorge Nuñez;Salud Integral;(A-0001-00001031);(17.80)
550e8400-e29b-41d4-a716-22;2025-02-16T10:40:00;success;23.90;Laura Campos;Energía Verde;(A-0001-00001032-B-0001-00001033);(15.00,8.90)
550e8400-e29b-41d4-a716-23;2025-02-18T15:25:00;success;16.20;Manuel Ortiz;Transportes Rapidos;(B-0001-00001034);(16.20)
550e8400-e29b-41d4-a716-24;2025-02-20T08:50:00;success;20.75;Silvia Herrera;Muebles Estilo;(A-0001-00001035);(20.75)
550e8400-e29b-41d4-a716-25;2025-02-22T16:35:00;success;18.50;Alberto Medina;Computación Avanzada;(A-0001-00001036);(18.50)
550e8400-e29b-41d4-a716-26;2025-02-25T11:25:00;void;24.25;Carmen Fuentes;Librerías Central;(A-0001-00001037-A-0001-00001038);(12.25,12.00)
550e8400-e29b-41d4-a716-27;2025-02-27T14:00:00;success;15.60;Raúl Ibarra;Deportes Total;(B-0001-00001039);(15.60)
550e8400-e29b-41d4-a716-28;2025-03-01T09:45:00;success;22.80;Natalia Guzman;Juguetes Felices;(A-0001-00001040);(22.80)
550e8400-e29b-41d4-a716-29;2025-03-03T17:15:00;success;19.60;Oscar Vidal;Ropa Urbana;(A-0001-00001041);(19.60)
550e8400-e29b-41d4-a716-30;2025-03-05T10:50:00;success;16.90;Mónica Salazar;Calzado Paso;(B-0001-00001042);(16.90)
550e8400-e29b-41d4-a716-31;2025-03-08T15:40:00;success;21.50;Pablo Aguirre;Accesorios Moda;(A-0001-00001043);(21.50)
550e8400-e29b-41d4-a716-32;2025-03-10T08:55:00;success;23.20;Lorena Paredes;Hogar Dulce;(A-0001-00001044);(23.20)
550e8400-e29b-41d4-a716-33;2025-03-12T16:40:00;success;17.40;Hugo Espinoza;Jardines Verdes;(B-0001-00001045);(17.40)
550e8400-e29b-41d4-a716-34;2025-03-15T11:35:00;success;20.25;Cecilia Bravo;Mascotas Felices;(A-0001-00001046);(20.25)
550e8400-e29b-41d4-a716-35;2025-03-18T14:20:00;success;15.75;Francisco Miranda;Eventos Top;(A-0001-00001047);(15.75)
550e8400-e29b-41d4-a716-36;2025-03-21T09:50:00;success;24.80;Alicia Valdés;Catering Gourmet;(B-0001-00001048);(24.80)
550e8400-e29b-41d4-a716-37;2025-03-24T17:25:00;success;18.90;Sergio Carrasco;Limpieza Pro;(A-0001-00001049);(18.90)
550e8400-e29b-41d4-a716-38;2025-03-26T10:55:00;success;21.30;Teresa Salinas;Seguridad Total;(A-0001-00001050);(21.30)
550e8400-e29b-41d4-a716-39;2025-03-29T15:50:00;success;16.10;Eduardo Navarrete;Mensajería Rapida;(B-0001-00001051);(16.10)
550e8400-e29b-41d4-a716-40;2025-03-31T09:05:00;success;22.40;Verónica Lagos;Call Center;(A-0001-00001052);(22.40)
